date,open_ul,high_ul,low_ul,close_ul
2022-10-03,17102.1,17114.65,16855.55,16887.35
2022-10-04,17147.45,17287.3,17117.3,17274.3
2022-10-06,17379.25,17428.8,17315.65,17331.8
2022-10-07,17287.2,17337.35,17216.95,17314.65
2022-10-10,17094.35,17280.15,17064.7,17241.0
2022-10-11,17256.05,17261.8,16950.3,16983.55
2022-10-12,17025.55,17142.35,16960.05,17123.6
2022-10-13,17087.35,17112.35,16956.95,17014.35
2022-10-14,17322.3,17348.55,17169.75,17185.7
2022-10-17,17144.8,17328.55,17098.55,17311.8
2022-10-18,17438.75,17527.8,17434.05,17486.95
2022-10-19,17568.15,17607.6,17472.85,17512.25
2022-10-20,17423.1,17584.15,17421.0,17563.95
2022-10-21,17622.85,17670.15,17520.75,17576.3
2022-10-25,17808.3,17811.5,17637.0,17656.35
2022-10-27,17771.4,17783.9,17654.5,17736.95
2022-10-28,17756.4,17838.9,17723.7,17786.8
2022-10-31,17910.2,18022.8,17899.9,18012.2
2022-11-01,18130.7,18175.8,18060.15,18145.4
2022-11-03,17968.35,18106.3,17959.2,18052.7
2022-11-04,18053.4,18135.1,18017.15,18117.15
2022-11-07,18211.75,18255.5,18064.75,18202.8
2022-11-09,18288.25,18296.4,18117.5,18157.0
2022-11-10,18044.35,18103.1,17969.4,18028.2
2022-11-11,18272.35,18362.3,18259.35,18349.7
2022-11-14,18376.4,18399.45,18311.4,18329.15
2022-11-15,18362.75,18427.95,18282.0,18403.4
2022-11-16,18398.25,18442.15,18344.15,18409.65
2022-11-17,18358.7,18417.6,18312.95,18343.9
2022-11-18,18382.95,18394.6,18209.8,18307.65
2022-11-21,18246.4,18262.3,18133.35,18159.95
2022-11-22,18179.15,18261.85,18137.7,18244.2
2022-11-23,18325.2,18325.4,18246.0,18267.25
2022-11-24,18326.1,18529.7,18294.25,18484.1
2022-11-25,18528.45,18534.9,18445.1,18512.75
2022-11-28,18430.55,18614.25,18365.6,18562.75
2022-11-29,18552.45,18678.1,18552.15,18618.05
2022-11-30,18625.7,18816.05,18616.55,18758.35
2022-12-01,18871.95,18887.6,18778.2,18812.5
2022-12-02,18752.4,18781.95,18639.2,18696.1
2022-12-05,18719.55,18728.6,18591.35,18701.05
2022-12-06,18600.65,18654.9,18577.9,18642.75
2022-12-07,18638.85,18668.3,18528.4,18560.5
2022-12-08,18570.85,18625.0,18536.95,18609.35
2022-12-09,18662.4,18664.7,18410.1,18496.6
2022-12-12,18402.15,18521.55,18345.7,18497.15
2022-12-13,18524.4,18617.25,18490.2,18608.0
2022-12-14,18671.25,18696.1,18632.9,18660.3
2022-12-15,18614.4,18652.9,18387.7,18414.9
2022-12-16,18319.1,18440.95,18255.15,18269.0
2022-12-19,18288.1,18431.65,18244.55,18420.45
2022-12-20,18340.3,18404.9,18202.65,18385.3
2022-12-21,18435.15,18473.35,18162.75,18199.1
2022-12-22,18288.8,18318.75,18068.6,18127.35
2022-12-23,17977.65,18050.45,17779.5,17806.8
2022-12-26,17830.4,18084.1,17774.25,18014.6
2022-12-27,18089.8,18149.25,17967.45,18132.3
2022-12-28,18084.75,18173.1,18068.35,18122.5
2022-12-29,18045.7,18229.7,17992.8,18191.0
2022-12-30,18259.1,18265.25,18080.3,18105.3
2023-01-02,18131.7,18215.15,18086.5,18197.45
2023-01-03,18163.2,18251.95,18149.8,18232.55
2023-01-04,18230.65,18243.0,18020.6,18042.95
2023-01-05,18101.95,18120.3,17892.6,17992.15
2023-01-06,18008.05,18047.4,17795.55,17859.45
2023-01-09,17952.55,18141.4,17936.15,18101.2
